CNES,NOME_ESTABELECIMENTO,TIPO_ESTABELECIMENTO
5752469,BASE SAMU OESTE ARISTIDES VIADANA URAM MC2019,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
5752477,BASE SAMU OESTE ARISTIDES VIADANA URAM MC2027,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7018177,BASE SAMU OESTE CAPS ITAIM BIBI AM1185,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7001398,BASE SAMU OESTE CID UNIVERSITARIA AM1099,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7271921,BASE SAMU OESTE CID UNIVERSITARIA AM1116,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7271948,BASE SAMU OESTE CID UNIVERSITARIA AM1190 SAV,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7272251,BASE SAMU OESTE CID UNIVERSITARIA URAM MC2037,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7272278,BASE SAMU OESTE CID UNIVERSITARIA URAM MC2038,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
6999700,BASE SAMU OESTE H M MARIO DEGNI AM1114,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7272081,BASE SAMU OESTE LAPA AM 1184,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7255705,BASE SAMU OESTE LAPA AM1077,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
5789826,BASE SAMU OESTE LAPA URAM MC2036,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
5790034,BASE SAMU OESTE LAPA URAM MC2053,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7024312,BASE SAMU OESTE PAT BAND AM1098 SAV,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7272766,BASE SAMU OESTE PAT BAND URAM MC2039,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7272731,BASE SAMU OESTE PAT BAND URAM MC2040,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7255748,BASE SAMU OESTE PB BUTANTA AM1101,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
5850452,BASE SAMU OESTE REAL PARQUE URAM MC1108,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
5850460,BASE SAMU OESTE REAL PARQUE URAM MC1137,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7271905,BASE SAMU OESTE RIO PEQUENO AM1115,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
6983774,BASE SAMU OESTE RIO PEQUENO AM1121,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7272456,BASE SAMU OESTE RIO PEQUENO URAM MC2041,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7272464,BASE SAMU OESTE RIO PEQUENO URAM MC2042,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7018169,BASE SAMU OESTE UBS JARDIM COLOMBO AM1100,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
5790255,BASE SAMU OESTE UBS JARDIM COLOMBO URAM MC2035,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
5790042,BASE SAMU OESTE UBS JARDIM COLOMBO URAM MC2052,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
6999727,BASE SAMU SUDESTE AMA HERMENEGILDO AM1201,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7272197,BASE SAMU SUDESTE CUPECE AM1202,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7272154,BASE SAMU SUDESTE H M IPIRANGA AM1072,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7272200,BASE SAMU SUDESTE H M IPIRANGA AM1073,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7272146,BASE SAMU SUDESTE H M IPIRANGA AM1095,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7272219,BASE SAMU SUDESTE H M TATUAPE AM1119,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7271956,BASE SAMU SUDESTE H M TATUAPE AM1182 SAV,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
